card_id,@qr_image,url
YSLC221,qrs/YSLC221.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC221
YSLC222,qrs/YSLC222.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC222
YSLC223,qrs/YSLC223.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC223
YSLC224,qrs/YSLC224.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC224
YSLC225,qrs/YSLC225.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC225
YSLC226,qrs/YSLC226.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC226
YSLC227,qrs/YSLC227.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC227
YSLC228,qrs/YSLC228.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC228
YSLC229,qrs/YSLC229.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC229
YSLC230,qrs/YSLC230.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC230
YSLC231,qrs/YSLC231.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC231
YSLC232,qrs/YSLC232.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC232
YSLC233,qrs/YSLC233.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC233
YSLC234,qrs/YSLC234.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC234
YSLC235,qrs/YSLC235.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC235
YSLC236,qrs/YSLC236.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC236
YSLC237,qrs/YSLC237.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC237
YSLC238,qrs/YSLC238.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC238
YSLC239,qrs/YSLC239.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC239
YSLC240,qrs/YSLC240.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC240
YSLC241,qrs/YSLC241.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC241
YSLC242,qrs/YSLC242.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC242
YSLC243,qrs/YSLC243.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC243
YSLC244,qrs/YSLC244.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC244
YSLC245,qrs/YSLC245.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC245
YSLC246,qrs/YSLC246.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC246
YSLC247,qrs/YSLC247.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC247
YSLC248,qrs/YSLC248.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC248
YSLC249,qrs/YSLC249.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC249
YSLC250,qrs/YSLC250.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC250
YSLC251,qrs/YSLC251.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC251
YSLC252,qrs/YSLC252.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC252
YSLC253,qrs/YSLC253.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC253
YSLC254,qrs/YSLC254.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC254
YSLC255,qrs/YSLC255.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC255
YSLC256,qrs/YSLC256.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC256
YSLC257,qrs/YSLC257.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC257
YSLC258,qrs/YSLC258.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC258
YSLC259,qrs/YSLC259.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC259
YSLC260,qrs/YSLC260.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC260
YSLC261,qrs/YSLC261.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC261
YSLC262,qrs/YSLC262.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC262
